-8.349999999999999645e-01,-1.139999999999999680e+00
-5.249999999999994671e-01,-1.394999999999999574e+00
-9.849999999999994316e-01,-1.064999999999999503e+00
-6.550000000000002487e-01,-1.285000000000000142e+00
-5.249999999999994671e-01,-1.394999999999999574e+00
-8.349999999999999645e-01,-1.139999999999999680e+00
-1.575000000000000178e+00,-8.499999999999996447e-01
-2.504999999999999893e+00,-6.849999999999996092e-01
-3.375000000000000000e+00,-5.549999999999997158e-01
-4.334999999999999964e+00,-5.350000000000001421e-01
-5.174999999999999822e+00,-6.399999999999996803e-01
-5.699999999999999289e+00,-7.949999999999999289e-01
-6.115000000000000213e+00,-1.370000000000000107e+00
-6.200000000000000178e+00,-2.099999999999999645e+00
-6.185000000000000497e+00,-3.064999999999999503e+00
-5.995000000000000107e+00,-3.875000000000000000e+00
-5.754999999999999893e+00,-4.115000000000000213e+00
-4.875000000000000000e+00,-4.379999999999999893e+00
-3.995000000000000107e+00,-4.564999999999999503e+00
-3.080000000000000071e+00,-4.535000000000000142e+00
-2.084999999999999964e+00,-4.464999999999999858e+00
-1.174999999999999822e+00,-4.379999999999999893e+00
-7.099999999999999645e-01,-4.134999999999999787e+00
-3.799999999999998934e-01,-3.634999999999999787e+00
-2.050000000000000711e-01,-2.875000000000000000e+00
-2.349999999999994316e-01,-2.099999999999999645e+00
-5.249999999999994671e-01,-1.394999999999999574e+00
-8.349999999999999645e-01,-1.139999999999999680e+00
